Date,Total Users,Total new users,Published datasets (metastore),Published datasets (DB),Unlisted datasets,Unlisted datasets (extracting our datasets),Private datasets,Private datasets(extracting our datasets),Total datasets,Number of pushes,Number of pushes (excluding us),Speed of a 1Mb of packaged dataset push (in seconds),Speed of a 5kb of packaged dataset push (in seconds),Clicks on download link (csv + json + zip),cli-macos,cli-linux,cli-windows,data-desktop,Total downloads,Download page (unique pageviews),sign-in-pricing-page,sign-up-pricing-page,contact-us-pricing-page,Pricing page (unique pageviews),Site Traffic,Data stored (Published),Data growth,Total number of data requests,Comment
2018-02-16,538,5,301,408,526,74,17,1,951,927,,48.86,34.05,331,1,0,2,0,3,30,2,0,0,30,887,6209788136,"-82,266,781",0,
2018-02-19,542,4,302,409,531,75,17,1,957,748,,40.97,34.07,405,0,0,4,0,4,26,0,1,1,16,963,6266527950,"56,739,814",0,
2018-02-20,544,2,302,409,538,77,17,1,964,302,,39.54,35,383,2,1,8,0,11,46,1,0,0,27,1062,6266527948,-2,0,"Redis restarted, postponed pushing sample datasets"
2018-02-21,546,2,302,409,550,84,17,1,976,1222,,38.12,35.96,357,1,1,12,1,15,31,0,0,0,23,1057,6266527948,0,2,
2018-02-22,547,1,302,409,565,90,19,1,993,427,,38.91,39.07,382,0,6,6,0,12,44,2,0,0,37,1111,6266554725,"26,777",2,
2018-02-23,557,10,304,411,588,94,18,1,1017,111,,43.53,35.49,386,2,0,8,1,11,36,1,0,0,26,907,10516000797,"4,249,446,072",2,Dataset pushed by org `budgetkey` 4 GB dataset
2018-02-26,559,2,304,411,595,95,21,1,1027,66,,45.21,39.6,447,2,0,8,0,10,34,1,1,0,19,1139,10516000787,-10,2,
2018-02-27,560,1,304,411,604,97,21,0,1036,36,,43.98,35.22,478,3,0,7,1,11,43,0,0,0,41,1131,10516009676,"8,889",1,
2018-02-28,562,2,307,414,608,97,22,0,1044,142,,45.22,36.57,412,2,1,3,2,8,30,0,0,0,26,1081,10516014672,"4,996",1,
2018-03-01,566,4,307,414,643,101,22,0,1079,93,,46.46,37.92,461,3,4,14,0,21,44,2,0,0,32,1065,10529786814,"13,772,142",1,
2018-03-02,569,3,308,415,651,101,22,0,1088,75,,48.36,34.31,345,0,0,5,4,9,30,0,0,0,22,858,10745308217,"215,521,403",4,
2018-03-05,570,1,311,418,660,101,22,0,1100,75,,45.39,34.39,414,2,0,4,1,7,26,0,0,0,18,1037,12526227835,"1,780,919,618",0,
2018-03-06,574,4,311,418,670,105,21,0,1109,49,,41.96,33.07,471,0,3,4,1,8,41,0,0,0,28,1137,12311769392,"-214,458,443",2,
2018-03-07,579,5,312,419,687,107,21,0,1127,132,,42.94,31.81,485,2,1,17,3,23,47,0,0,0,20,1118,12770102932,"458,333,540",2,
2018-03-08,587,8,313,420,715,107,22,0,1157,192,,37.49,29.14,400,0,2,5,0,7,30,0,0,0,24,1012,12788481274,"18,378,342",0,
2018-03-09,593,6,314,421,716,106,22,0,1159,8,,41.41,30.15,394,1,1,7,1,10,33,0,0,0,24,976,12817868225,"29,386,951",3,
2018-03-12,596,3,314,421,719,106,22,0,1162,9,,47.25,31.87,443,1,3,6,1,11,48,2,0,0,25,1118,12817868225,0,2,
2018-03-13,601,5,314,421,734,108,22,0,1177,137,,41.48,29.11,451,0,2,5,1,8,36,3,7,0,29,1267,12817659422,"-208,803",2,
2018-03-14,603,2,314,421,736,108,22,0,1179,238,,47.51,32.94,426,0,0,3,0,3,39,0,0,0,19,1240,12758775150,"-58,884,272",0,
2018-03-15,609,6,313,420,718,109,21,0,1159,238,,46.34,30.36,416,2,2,15,0,19,58,1,0,0,32,1302,12385530282,"-373,244,868",2,
2018-03-16,618,9,313,420,735,110,22,0,1177,132,,46.67,29.55,299,2,0,5,2,9,32,0,0,0,25,976,12385530538,256,5,
2018-03-19,624,6,313,420,740,112,22,0,1182,30,,44.2,32.08,423,2,0,11,1,14,41,1,0,0,32,1254,12385530538,0,2,
2018-03-20,626,2,313,420,744,112,22,0,1186,27,,43.33,31.13,449,3,1,11,4,19,47,1,0,0,23,1274,12559787337,"174,256,799",1,
2018-03-21,628,2,313,420,744,112,22,0,1186,6,,42.47,30.19,141,0,0,5,0,5,25,0,0,0,17,586,12559787337,0,0,Site shut down for several hours
2018-03-22,631,3,313,420,745,112,22,0,1187,16,,41.61,29.25,437,0,1,8,1,10,43,1,0,0,26,1221,12559787337,0,3,
2018-03-23,643,12,313,420,746,113,22,0,1188,15,,40.75,28.31,338,2,0,8,0,10,36,0,0,0,26,1060,12559787337,0,6,
2018-03-26,645,2,313,420,749,113,22,0,1191,14,,43.1,28.7,392,2,1,6,1,10,41,1,6,0,23,1237,12559787339,2,1,
2018-03-27,648,3,313,420,757,111,22,0,1199,195,,42.34,28.7,516,2,2,25,1,30,51,1,0,0,29,1397,12559787836,497,1,
2018-03-28,658,10,321,428,761,111,22,0,1211,38,27,43.31,30.13,492,1,2,12,0,15,56,2,0,0,30,1374,12564145671,"4,357,835",1,
2018-03-29,661,3,321,428,782,111,22,0,1232,63,15,39.71,30.47,422,2,3,5,1,11,38,0,0,0,16,1067,12564145924,253,0,
2018-03-30,675,14,322,429,791,116,22,0,1242,29,23,40.56,29.05,279,1,3,14,0,18,35,0,0,2,16,779,12564724591,"578,667",0,
2018-04-02,686,11,323,430,794,116,22,0,1246,20,14,41.1,28.92,290,0,1,7,0,8,27,0,0,2,22,857,12565123898,"399,307",1,
2018-04-03,689,3,324,431,798,118,22,0,1251,23,18,40.53,30.76,398,1,1,10,0,12,45,0,0,1,35,1217,12587383892,"22,259,994",1,
2018-04-04,694,5,324,431,798,118,22,0,1251,15,12,39.96,32.6,389,0,1,7,0,8,34,1,0,0,27,1197,12587383892,0,2,
2018-04-05,702,8,328,435,804,120,23,1,1262,32,16,41.07,29.81,463,4,4,6,5,19,49,0,0,0,27,1210,12671621375,"84,237,483",2,
